image,label
Img/img011-001.png,1
Img/img011-002.png,1
Img/img011-003.png,1
Img/img011-004.png,1
Img/img011-005.png,1
Img/img011-006.png,1
Img/img011-007.png,1
Img/img011-008.png,1
Img/img011-009.png,1
Img/img011-010.png,1
Img/img011-011.png,1
Img/img011-012.png,1
Img/img011-013.png,1
Img/img011-014.png,1
Img/img011-015.png,1
Img/img011-016.png,1
Img/img011-017.png,1
Img/img011-018.png,1
Img/img011-019.png,1
Img/img011-020.png,1
Img/img011-021.png,1
Img/img011-022.png,1
Img/img011-023.png,1
Img/img011-024.png,1
Img/img011-025.png,1
Img/img011-026.png,1
Img/img011-027.png,1
Img/img011-028.png,1
Img/img011-029.png,1
Img/img011-030.png,1
Img/img011-031.png,1
Img/img011-032.png,1
Img/img011-033.png,1
Img/img011-034.png,1
Img/img011-035.png,1
Img/img011-036.png,1
Img/img011-037.png,1
Img/img011-038.png,1
Img/img011-039.png,1
Img/img011-040.png,1
Img/img011-041.png,1
Img/img011-042.png,1
Img/img011-043.png,1
Img/img011-044.png,1
Img/img011-045.png,1
Img/img011-046.png,1
Img/img011-047.png,1
Img/img011-048.png,1
Img/img011-049.png,1
Img/img011-050.png,1
Img/img011-051.png,1
Img/img011-052.png,1
Img/img011-053.png,1
Img/img011-054.png,1
Img/img011-055.png,1
Img/img012-001.png,2
Img/img012-002.png,2
Img/img012-003.png,2
Img/img012-004.png,2
Img/img012-005.png,2
Img/img012-006.png,2
Img/img012-007.png,2
Img/img012-008.png,2
Img/img012-009.png,2
Img/img012-010.png,2
Img/img012-011.png,2
Img/img012-012.png,2
Img/img012-013.png,2
Img/img012-014.png,2
Img/img012-015.png,2
Img/img012-016.png,2
Img/img012-017.png,2
Img/img012-018.png,2
Img/img012-019.png,2
Img/img012-020.png,2
Img/img012-021.png,2
Img/img012-022.png,2
Img/img012-023.png,2
Img/img012-024.png,2
Img/img012-025.png,2
Img/img012-026.png,2
Img/img012-027.png,2
Img/img012-028.png,2
Img/img012-029.png,2
Img/img012-030.png,2
Img/img012-031.png,2
Img/img012-032.png,2
Img/img012-033.png,2
Img/img012-034.png,2
Img/img012-035.png,2
Img/img012-036.png,2
Img/img012-037.png,2
Img/img012-038.png,2
Img/img012-039.png,2
Img/img012-040.png,2
Img/img012-041.png,2
Img/img012-042.png,2
Img/img012-043.png,2
Img/img012-044.png,2
Img/img012-045.png,2
Img/img012-046.png,2
Img/img012-047.png,2
Img/img012-048.png,2
Img/img012-049.png,2
Img/img012-050.png,2
Img/img012-051.png,2
Img/img012-052.png,2
Img/img012-053.png,2
Img/img012-054.png,2
Img/img012-055.png,2
Img/img013-001.png,3
Img/img013-002.png,3
Img/img013-003.png,3
Img/img013-004.png,3
Img/img013-005.png,3
Img/img013-006.png,3
Img/img013-007.png,3
Img/img013-008.png,3
Img/img013-009.png,3
Img/img013-010.png,3
Img/img013-011.png,3
Img/img013-012.png,3
Img/img013-013.png,3
Img/img013-014.png,3
Img/img013-015.png,3
Img/img013-016.png,3
Img/img013-017.png,3
Img/img013-018.png,3
Img/img013-019.png,3
Img/img013-020.png,3
Img/img013-021.png,3
Img/img013-022.png,3
Img/img013-023.png,3
Img/img013-024.png,3
Img/img013-025.png,3
Img/img013-026.png,3
Img/img013-027.png,3
Img/img013-028.png,3
Img/img013-029.png,3
Img/img013-030.png,3
Img/img013-031.png,3
Img/img013-032.png,3
Img/img013-033.png,3
Img/img013-034.png,3
Img/img013-035.png,3
Img/img013-036.png,3
Img/img013-037.png,3
Img/img013-038.png,3
Img/img013-039.png,3
Img/img013-040.png,3
Img/img013-041.png,3
Img/img013-042.png,3
Img/img013-043.png,3
Img/img013-044.png,3
Img/img013-045.png,3
Img/img013-046.png,3
Img/img013-047.png,3
Img/img013-048.png,3
Img/img013-049.png,3
Img/img013-050.png,3
Img/img013-051.png,3
Img/img013-052.png,3
Img/img013-053.png,3
Img/img013-054.png,3
Img/img013-055.png,3
Img/img014-001.png,4
Img/img014-002.png,4
Img/img014-003.png,4
Img/img014-004.png,4
Img/img014-005.png,4
Img/img014-006.png,4
Img/img014-007.png,4
Img/img014-008.png,4
Img/img014-009.png,4
Img/img014-010.png,4
Img/img014-011.png,4
Img/img014-012.png,4
Img/img014-013.png,4
Img/img014-014.png,4
Img/img014-015.png,4
Img/img014-016.png,4
Img/img014-017.png,4
Img/img014-018.png,4
Img/img014-019.png,4
Img/img014-020.png,4
Img/img014-021.png,4
Img/img014-022.png,4
Img/img014-023.png,4
Img/img014-024.png,4
Img/img014-025.png,4
Img/img014-026.png,4
Img/img014-027.png,4
Img/img014-028.png,4
Img/img014-029.png,4
Img/img014-030.png,4
Img/img014-031.png,4
